index,ID,sex,age,race,marital-status,education,native-country,workclass,occupation,salary-class,given_name,surname,street_number,address_1,address_2,suburb,postcode,state,soc_sec_id
4544_a,4543,*,17,White,Never-married,High School,North America,*,*,<=50K,alison,mclauchlan,13,bunbury street,noaddresstwo,rosebery,2228,vic,9527970
2099_a,2098,*,17,White,Never-married,High School,North America,*,*,<=50K,empiily,potter,14,elizabweth crescent,wollongong vet hospital,little mountain,2225,lqd,6018212
4919_a,4918,*,17,White,Never-married,High School,North America,*,*,<=50K,chelsea,hillt,0,throssell street,noaddresstwo,wamarl,3496,nostate,7301665
3613_a,3612,*,17,White,Never-married,High School,North America,*,*,<=50K,kira,brown,36,pollock street,cairns corporate tower,woy woy,2844,nsw,8274541
528_a,527,*,17,White,Never-married,High School,North America,*,*,<=50K,nogivenname,polkzrrd,227,len waterisstreet,noaddresstwo,laudgredale,2137,qll,3363039
3180_a,3179,*,17,*,Never-married,*,North America,Non-Government,*,<=50K,ella,wilson,7,hector place,noaddresstwo,parkinson,2289,nsw,1757314
2604_a,2603,*,17,*,Never-married,*,North America,Non-Government,*,<=50K,connor,knenedy,23,disney court,noaddresstkwo,macleod,0nan,nostatve,9651957
312_a,311,*,17,*,Never-married,*,North America,Non-Government,*,<=50K,tomas,scholar,14,edols palce,central clinic,croulla,2148,tas,8885464
5329_a,5328,*,17,*,Never-married,*,North America,Non-Government,*,<=50K,joshua,lloy d,60,disney court,noaddresstwo,west wylong,4116,qod,5760234
623_a,622,*,17,*,Never-married,*,North America,Non-Government,*,<=50K,armber,collins,128,fletcher place,noaddresstwow,noble park,2482,qlld,7166211
1429_a,1428,*,17,White,Never-married,High School,United-States,*,*,<=50K,kimaf,cleary,75,campbell rteet,noaddresstwo,brancton,2228,nostate,4018842
4016_a,4015,*,17,White,Never-married,High School,United-States,*,*,<=50K,amelia,smie,127,cashion court,railwaykcrpttage,port sorell,2261,nsw,6819278
1424_a,1423,*,17,White,Never-married,High School,United-States,*,*,<=50K,laura,jmaes,128,wakefield garden,nodadresstwo,cranbourne,3113,sa,5748963
4235_a,4234,*,17,White,Never-married,High School,United-States,*,*,<=50K,civer,chlor,11,wise stret,carumbi,gympie,3108,nw,1225360
243_a,242,*,17,White,Never-married,High School,United-States,*,*,<=50K,jordan,hotl,4,canopus crescenth,noaddresstwo,altona,2306,nvsw,7204380
2190_a,2189,*,17,White,Never-married,High School,United-States,Non-Government,*,<=50K,nogivenname,edwarids,1,owen crescent,noaddresstwo,blackmans bay,2474,nsw,3965304
5348_a,5347,*,17,White,Never-married,High School,United-States,Non-Government,*,<=50K,shannon,dennis,49,fred williams crescent,noaddresstwo,willmot,2140,vic,8637702
799_a,798,*,17,White,Never-married,High School,United-States,Non-Government,*,<=50K,aneka,nosurname,5,hanna street,noaddresstwo,east maitland,2250,wa,7767093
1885_a,1884,*,17,White,Never-married,High School,United-States,Non-Government,*,<=50K,nicole,russell,0,barrallier street,bunya view,toowoomba,2138,wa,3533373
4491_a,4490,*,17,White,Never-married,High School,United-States,Non-Government,*,<=50K,layla,farrow,19,clifford crescent,ashwood park,hawthorn,3000,tas,7363198
345_a,344,*,17,White,Never-married,High School,United-States,Non-Government,*,<=50K,william,bell,2,montefiore crescent,nundorah,mulgrave east,2133,nsw,2183130
392_a,391,*,17,White,Never-married,High School,United-States,Private,*,<=50K,noah,neeson,18,tillyard drive,island quays,nietta,6210,qld,2565779
740_a,739,*,17,White,Never-married,High School,United-States,Private,*,<=50K,harriet,bonetti,8,springvale drive,noaddresstwo,paget,2558,vic,2001554
772_a,771,*,17,White,Never-married,High School,United-States,Private,*,<=50K,ellb,spink,19,dunn place,noaddresstwo,minyapma,2280,qld,8763619
4609_a,4608,*,17,White,Never-married,High School,United-States,Private,*,<=50K,kirra,senkevitch,97,moruya circuit,benooka,murgon,4179,nostate,6190490
748_a,747,*,17,White,Never-married,High School,United-States,Private,*,<=50K,joshua,rowe,45,wheeler crescent,noaddresstwo,batlow,3134,vzv,6952155
4274_a,4273,*,17,*,Never-married,High School,United-States,*,Other,<=50K,lukye,hanlan,218,collings street,noaddresstwo,heathmont,6512,qld,2885368
1398_a,1397,*,17,*,Never-married,High School,United-States,*,Other,<=50K,emmerson,woolley,19,mcconnel crescent,noaddresstwo,kalamunda,2040,nsw,6063862
3284_a,3283,*,17,*,Never-married,High School,United-States,*,Other,<=50K,alicia,lance,7,hadleigh circuit,cobb & co caravan park,orient point,2101,nostate,2034141
2672_a,2671,*,17,*,Never-married,High School,United-States,*,Other,<=50K,zne,hampnel,55,walsh place,zmenagerie park,langwarrin,3170,nsw,9213551
251_a,250,*,17,*,Never-married,High School,United-States,*,Other,<=50K,joshua,mckesaor,42,were sfteet,wrenswood,narre warren,3014,wa,9661439
685_a,684,*,17,*,Never-married,High School,United-States,Private,*,<=50K,brendan,desteno,39,anzac park,moorallie,ebor,4075,qld,6934950
4282_a,4281,*,17,*,Never-married,High School,United-States,Private,*,<=50K,raquel,mickan,14,mckillop circuit,noaddresstwo,dover heights,3564,sa,7803977
3241_a,3240,*,17,*,Never-married,High School,United-States,Private,*,<=50K,plau,fisher,6,newladn oyreet,austral building,belmore,3051,vixc,7413233
2570_a,2569,*,17,*,Never-married,High School,United-States,Private,*,<=50K,cooper,cheung,107,rule street,noaddresstwo,heddon greta,2518,sa,2761409
4945_a,4944,*,17,*,Never-married,High School,United-States,Private,*,<=50K,shelbep,guencc,42,bunbury street,noaddresstwo,waroyna,2138,vic,8044171
1989_a,1988,*,17,*,Never-married,High School,United-States,*,*,<=50K,joshua,tri,6,arthur circle,noaddresstwo,mountburr,4122,vic,5934950
